UniProt_ID,Protein_Name,Gene_Names,Organism,Source_DB,LLPSDB_designed,LLPS_mode,evidence_in_vitro,evidence_in_vivo,role,MLO_Types,is_membrane,TMD_count,TMD_class,Length
P35637,RNA-binding protein FUS,FUS TLS,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,True,driver,DNA damage foci; Mesh-like condensate; Neuronal granule; Nuclear pore complex; Nuclear speckle; Nucleolus; Oskar granule; Paraspeckle; Stress granule; Transcriptional condensate,False,0,none,526.0
P35638,DNA damage-inducible transcript 3 protein,DDIT3 CHOP CHOP10 GADD153,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,169.0
P35658,Nuclear pore complex protein Nup214,NUP214 CAIN CAN KIAA0023,Homo sapiens,PhasePDB,False,partner_dependent,False,False,driver,Cytoplasmic Nucleoporin Granule; Nuclear body; Nuclear pore complex,False,0,none,2090.0
P36406,E3 ubiquitin-protein ligase TRIM23,TRIM23 ARD1 ARFD1 RNF46,Homo sapiens,PhasePDB,False,both,False,False,driver,P-body,False,0,none,574.0
P36871,Phosphoglucomutase-1,PGM1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,P-body,False,0,none,562.0
P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PPP1CC,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear speckle; Nucleolus,False,0,none,323.0
P37198,Nuclear pore glycoprotein p62,NUP62,Homo sapiens,PhasePDB,False,both,False,False,driver,Nuclear pore complex,False,0,none,522.0
P37231,Peroxisome proliferator-activated receptor gamma,PPARG NR1C3,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,505.0
P37840,Alpha-synuclein,SNCA NACP PARK1,Homo sapiens,PhasePDB,False,both,False,False,both,Inclusion body; P-body; Postsynaptic density; Stress granule; Synapsin condensate; α-synuclein condensates,False,0,none,140.0
P38159,"RNA-binding motif protein, X chromosome",RBMX HNRPG RBMXP1,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,False,0,none,391.0
P38398,Breast cancer type 1 susceptibility protein,BRCA1 RNF53,Homo sapiens,PhasePDB,False,both,False,False,both,DNA damage foci,False,0,none,1863.0
P38432,Coilin,COIL CLN80,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Cajal body,False,0,none,576.0
P38646,"Stress-70 protein, mitochondrial",HSPA9 GRP75 HSPA9B mt-HSP70,Homo sapiens,PhasePDB,False,both,True,True,driver,Stress granule,False,0,none,679.0
P40337,von Hippel-Lindau disease tumor suppressor,VHL,Homo sapiens,LLPSDB+PhasePDB,False,unclear,True,True,unclear,Amyloid body,False,0,none,213.0
P40763,Signal transducer and activator of transcription 3,STAT3 APRF,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Transcriptional condensate,False,0,none,770.0
P40818,Ubiquitin carboxyl-terminal hydrolase 8,USP8 KIAA0055 UBPY,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Stress granule,False,0,none,1118.0
P41208,Centrin-2,CETN2 CALT CEN2,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,False,0,none,172.0
P41250,Glycine--tRNA ligase,GARS1 GARS,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Stress granule,False,0,none,739.0
P42566,Epidermal growth factor receptor substrate 15,EPS15 AF1P,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,896.0
P42568,Protein AF-9,MLLT3 AF9 YEATS3,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,568.0
P42574,Caspase-3,CASP3 CPP32,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Stress granule,False,0,none,277.0
P42677,Small ribosomal subunit protein eS27,RPS27 MPS1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,84.0
P42768,Actin nucleation-promoting factor WAS,WAS IMD2,Homo sapiens,PhasePDB,False,unclear,False,False,client,Nuclear speckle,False,0,none,502.0
P42858,Huntingtin,HTT HD IT15,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Htt inclusion; Inclusion body; Stress granule,False,0,none,3142.0
P43243,Matrin-3,MATR3 KIAA0723,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,847.0
P43351,DNA repair protein RAD52 homolog,RAD52,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,PML nuclear body,False,0,none,418.0
P43354,Nuclear receptor subfamily 4 group A member 2,NR4A2 NOT NURR1 TINUR,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,598.0
P43403,Tyrosine-protein kinase ZAP-70,ZAP70 SRK,Homo sapiens,PhasePDB,False,partner_dependent,True,False,client,,False,0,none,619.0
P45973,Chromobox protein homolog 5,CBX5 HP1A,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,driver,Heterochromatin; Nucleolus; Stress granule,False,0,none,191.0
P45984,Mitogen-activated protein kinase 9,MAPK9 JNK2 PRKM9 SAPK1A,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,424.0
P46013,Proliferation marker protein Ki-67,MKI67,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nucleolus,False,0,none,3256.0
P46527,Cyclin-dependent kinase inhibitor 1B,CDKN1B KIP1 p27,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,198.0
P46777,Large ribosomal subunit protein uL18,RPL5,Homo sapiens,LLPSDB+PhasePDB,False,unclear,False,False,unclear,Nucleolus,False,0,none,297.0
P46934,E3 ubiquitin-protein ligase NEDD4,NEDD4 KIAA0093 NEDD4-1 RPF1,Homo sapiens,PhasePDB,False,both,True,False,both,,False,0,none,1319.0
P46937,Transcriptional coactivator YAP1,YAP1 YAP65,Homo sapiens,PhasePDB,False,both,False,False,driver,Receptor cluster; Transcriptional condensate,False,0,none,504.0
P48431,Transcription factor SOX-2,SOX2,Homo sapiens,LLPSDB+PhasePDB,False,both,True,False,driver,Nucleolus,False,0,none,317.0
P48594,Serpin B4,SERPINB4 PI11 SCCA2,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,P-body,False,0,none,390.0
P48729,Casein kinase I isoform alpha,CSNK1A1,Homo sapiens,PhasePDB,False,both,False,False,both,Centrosome; Destruction complex condensate,False,0,none,337.0
P49023,Paxillin,PXN,Homo sapiens,PhasePDB,False,autonomous,True,True,both,,False,0,none,591.0
P49116,Nuclear receptor subfamily 2 group C member 2,NR2C2 TAK1 TR4,Homo sapiens,PhasePDB,False,autonomous,False,False,both,SARS-CoV-2 N condensate; Stress granule,False,0,none,596.0
P49450,Histone H3-like centromeric protein A,CENPA,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,,False,0,none,140.0
P49715,CCAAT/enhancer-binding protein alpha,CEBPA CEBP,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Transcriptional condensate,False,0,none,358.0
P49716,CCAAT/enhancer-binding protein delta,CEBPD,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,,False,0,none,269.0
P49721,Proteasome subunit beta type-2,PSMB2,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,Proteasome containing foci,False,0,none,201.0
P49760,Dual specificity protein kinase CLK2,CLK2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear speckle,False,0,none,499.0
P49790,Nuclear pore complex protein Nup153,NUP153,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Nuclear pore complex,False,0,none,1475.0
P49841,Glycogen synthase kinase-3 beta,GSK3B,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Centrosome; Destruction complex condensate,False,0,none,420.0
P49916,DNA ligase 3,LIG3,Homo sapiens,PhasePDB,False,both,True,False,driver,,False,0,none,1009.0
P49959,Double-strand break repair protein MRE11,MRE11 HNGS1 MRE11A,Homo sapiens,PhasePDB,False,both,False,True,client,,False,0,none,708.0
P50552,Vasodilator-stimulated phosphoprotein,VASP,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,380.0
P50570,Dynamin-2,DNM2 DYN2,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Stress granule,False,0,none,870.0
P50750,Cyclin-dependent kinase 9,CDK9 CDC2L4 TAK,Homo sapiens,PhasePDB,False,both,False,False,both,,False,0,none,372.0
P50914,Large ribosomal subunit protein eL14,RPL14,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,215.0
P50995,Annexin A11,ANXA11 ANX11,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Stress granule,False,0,none,505.0
P51114,RNA-binding protein FXR1,FXR1,Homo sapiens,PhasePDB,False,both,False,False,driver,FXR1 network; Nuclear pore complex; Stress granule,False,0,none,621.0
P51116,RNA-binding protein FXR2,FXR2 FMR1L2,Homo sapiens,PhasePDB,False,both,False,False,both,,False,0,none,673.0
P51149,Ras-related protein Rab-7a,RAB7A RAB7,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Stress granule,False,0,none,207.0
P51532,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,SMARCA4 BAF190A BRG1 SNF2B SNF2L4,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,1647.0
P51608,Methyl-CpG-binding protein 2,MECP2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Heterochromatin; Nucleolus,False,0,none,486.0
P51610,Host cell factor 1,HCFC1 HCF1 HFC1,Homo sapiens,PhasePDB,False,both,False,True,driver,Transcriptional condensate,False,0,none,2035.0
P51991,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3 HNRPA3,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,True,driver,Nuclear speckle; Paraspeckle; Stress granule,False,0,none,378.0
P52292,Importin subunit alpha-1;Karyopherin subunit alpha-2;RAG cohort protein 1;SRP1-alpha,KPNA2;RCH1;SRP1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Cytoplasm;Nucleus.,False,0,none,529.0
P52597,Heterogeneous nuclear ribonucleoprotein F,HNRNPF HNRPF,Homo sapiens,PhasePDB,False,both,False,False,unclear,,False,0,none,415.0
P52630,Signal transducer and activator of transcription 2,STAT2,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,851.0
P52789,Hexokinase-2,HK2,Homo sapiens,PhasePDB,False,autonomous,True,False,both,,False,0,none,917.0
P52948,Nuclear pore complex protein Nup98-Nup96,NUP98 ADAR2,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Cytoplasmic Nucleoporin Granule; Nuclear body; Nuclear pore complex; Transcriptional condensate,False,0,none,1817.0
P53567,CCAAT/enhancer-binding protein gamma,CEBPG,Homo sapiens,PhasePDB,False,autonomous,False,True,unclear,,False,0,none,150.0
P54132,RecQ-like DNA helicase BLM,BLM RECQ2 RECQL3,Homo sapiens,PhasePDB,False,both,False,False,both,Assemblysome; PML nuclear body; Stress granule,False,0,none,1417.0
P54252,Ataxin-3,ATXN3 ATX3 MJD MJD1 SCA3,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,361.0
P54274,Telomeric repeat-binding factor 1,TERF1 PIN2 TRBF1 TRF TRF1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Heterochromatin; PML nuclear body,False,0,none,439.0
P54577,"Tyrosine--tRNA ligase, cytoplasmic",YARS1 YARS,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,Stress granule,False,0,none,528.0
P54727,UV excision repair protein RAD23 homolog B,RAD23B,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Proteasome containing foci,False,0,none,409.0
P55036,26S proteasome non-ATPase regulatory subunit 4,PSMD4 MCB1,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Proteasome containing foci,False,0,none,377.0
P55072,Transitional endoplasmic reticulum ATPase,VCP HEL-220 HEL-S-70,Homo sapiens,PhasePDB,False,autonomous,False,False,client,Proteasome containing foci; Stress granule,False,0,none,806.0
P55210,Caspase-7,CASP7 MCH3,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Stress granule,False,0,none,303.0
P55316,Forkhead box protein G1,FOXG1 FKH2 FKHL1 FKHL2 FKHL3 FKHL4 FOXG1A FOXG1B FOXG1C,Homo sapiens,PhasePDB,False,unclear,True,True,unclear,,False,0,none,489.0
P55795,Heterogeneous nuclear ribonucleoprotein H2;FTP-3;Heterogeneous nuclear ribonucleoprotein H',HNRNPH2;FTP3;HNRPH2,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Nucleus, nucleoplasm.",False,0,none,449.0
P55854,Small ubiquitin-related modifier 3,SUMO3 SMT3A SMT3H1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,unclear,PML nuclear body,False,0,none,103.0
P55884,Eukaryotic translation initiation factor 3 subunit B,EIF3B EIF3S9,Homo sapiens,PhasePDB,False,both,False,False,both,Stress granule,False,0,none,814.0
P56270,Myc-associated zinc finger protein,MAZ ZNF801,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,477.0
P58004,Sestrin-2,SESN2 Hi95 SEST2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Stress granule,False,0,none,480.0
P60008,Putative histone H1.9,H1-9P H1-9 HILS1,Homo sapiens,PhasePDB,False,both,False,False,unclear,Nucleolus,False,0,none,231.0
P60709,"Actin, cytoplasmic 1",ACTB,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,375.0
P60842,Eukaryotic initiation factor 4A-I,EIF4A1 DDX2A EIF4A,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,406.0
P61160,Actin-related protein 2,ACTR2 ARP2,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,394.0
P61289,Proteasome activator complex subunit 3,PSME3,Homo sapiens,PhasePDB,False,unclear,False,False,client,,False,0,none,254.0
P61328,Fibroblast growth factor 12,FGF12 FGF12B FHF1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,243.0
P61956,Small ubiquitin-related modifier 2,SUMO2 SMT3B SMT3H2,Homo sapiens,PhasePDB,False,autonomous,False,False,client,PML nuclear body,False,0,none,95.0
P61964,WD repeat-containing protein 5,WDR5 BIG3,Homo sapiens,PhasePDB,False,both,False,False,client,Inclusion body,False,0,none,334.0
P61978,Heterogeneous nuclear ribonucleoprotein K,HNRNPK HNRPK,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear stress body; Paraspeckle; Stress granule,False,0,none,463.0
P62316,Small nuclear ribonucleoprotein Sm D2,SNRPD2 SNRPD1,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,118.0
P62424,Large ribosomal subunit protein eL8,RPL7A SURF-3 SURF3,Homo sapiens,PhasePDB,False,autonomous,False,False,both,DNA damage foci,False,0,none,266.0
P62491,Ras-related protein Rab-11A,RAB11A RAB11,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,216.0
P62633,CCHC-type zinc finger nucleic acid binding protein,CNBP RNF163 ZNF9,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,177.0
P62745,Rho-related GTP-binding protein RhoB,RHOB ARH6 ARHB,Homo sapiens,PhasePDB,False,both,True,False,unclear,Postsynaptic density,False,0,none,196.0
P62750,60S ribosomal protein L23a;Large ribosomal subunit protein uL23,RPL23A,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,,False,0,none,156.0
P62753,Small ribosomal subunit protein eS6,RPS6,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,Inclusion body,False,0,none,249.0
P62805,Histone H4,H4C1 H4/A H4FA HIST1H4A,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,Inclusion body,False,0,none,103.0
P62877,E3 ubiquitin-protein ligase RBX1,RBX1 RNF75 ROC1,Homo sapiens,PhasePDB,False,autonomous,True,True,both,Nuclear speckle,False,0,none,108.0
P62917,Large ribosomal subunit protein uL2,RPL8,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,257.0
P62937,Peptidyl-prolyl cis-trans isomerase A,PPIA CYPA,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Nuclear speckle; Nuclear stress body,False,0,none,165.0
P62993,Growth factor receptor-bound protein 2,GRB2 ASH,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,,False,0,none,217.0
P62995,Transformer-2 protein homolog beta,TRA2B SFRS10,Homo sapiens,PhasePDB,False,partner_dependent,True,False,client,,False,0,none,288.0
P63162,Small nuclear ribonucleoprotein-associated protein N,SNRPN HCERN3 SMN,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,False,0,none,240.0
P63165,Small ubiquitin-related modifier 1,SUMO1 SMT3C SMT3H3 UBL1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,101.0
P63244,Small ribosomal subunit protein RACK1,RACK1 GNB2L1,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,317.0
P63279,SUMO-conjugating enzyme UBC9,UBE2I UBC9 UBCE9,Homo sapiens,PhasePDB,False,autonomous,False,False,client,Stress granule,False,0,none,158.0
P67809,Y-box-binding protein 1,YBX1 NSEP1 YB1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Nuclear speckle; P-body; Stress granule,False,0,none,324.0
P67936,Tropomyosin alpha-4 chain,TPM4,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,248.0
P68400,Casein kinase II subunit alpha,CSNK2A1 CK2A1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,391.0
P78317,E3 ubiquitin-protein ligase RNF4,RNF4 SNURF,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,p62 cluster; PML nuclear body,False,0,none,190.0
P78344,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2 DAP5,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,907.0
P78352,Disks large homolog 4,DLG4 PSD95,Homo sapiens,PhasePDB,False,both,False,False,unclear,Postsynaptic density,False,0,none,724.0
P78352-1,Isoform 1 of Disks large homolog 4,DLG4 PSD95,Homo sapiens,PhasePDB,False,both,False,False,unclear,,False,0,none,
P78352-3,Disks large homolog 4;Postsynaptic density protein 95;Synapse-associated protein 90,DLG4;PSD95,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Cell membrane; Lipid-anchor; Cytoplasmic side; Cell junction, synapse, postsynaptic cell membrane, postsynaptic density; Cell junction, synapse; Cytoplasm; Cell projection, axon.",False,0,none,
P78362,SRSF protein kinase 2,SRPK2,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,Stress granule,False,0,none,688.0
P78364,Polyhomeotic-like protein 1,PHC1 EDR1 PH1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Nuclear body,False,0,none,1004.0
P78371,T-complex protein 1 subunit beta,CCT2 99D8.1 CCTB,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Inclusion body,False,0,none,535.0
P78396,Cyclin-A1,CCNA1,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,465.0
P81133,Single-minded homolog 1,SIM1 BHLHE14,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Mesh-like condensate,False,0,none,766.0
P83731,Large ribosomal subunit protein eL24,RPL24,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,157.0
P83916,Chromobox protein homolog 1,CBX1 CBX,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,unclear,Heterochromatin,False,0,none,185.0
P84022,Mothers against decapentaplegic homolog 3,SMAD3 MADH3,Homo sapiens,PhasePDB,False,both,True,False,driver,Transcriptional condensate,False,0,none,425.0
P84243,Histone H3.3,H3-3A H3.3A H3F3 H3F3A,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,136.0
P85037,Forkhead box protein K1,FOXK1 MNF,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,733.0
P98179,RNA-binding protein 3,RBM3 RNPL,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,157.0
P99999,Cytochrome c,CYCS CYC,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,105.0
Q00059,"Transcription factor A, mitochondrial",TFAM TCF6 TCF6L2,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Mitochondrial nucleoid,False,0,none,246.0
Q00613,Heat shock factor protein 1,HSF1 HSTF1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear stress body; Transcriptional condensate,False,0,none,529.0
Q00987,E3 ubiquitin-protein ligase Mdm2,MDM2,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,491.0
Q00994,Protein BEX3,BEX3 DXS6984E NADE NGFRAP1,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,False,0,none,111.0
Q01081,Splicing factor U2AF 35 kDa subunit,U2AF1 U2AF35 U2AFBP,Homo sapiens,PhasePDB,False,partner_dependent,False,False,client,,False,0,none,240.0
Q01085,Nucleolysin TIAR,TIAL1,Homo sapiens,LLPSDB+PhasePDB,False,partner_dependent,False,False,both,Stress granule,False,0,none,375.0
Q01105,Protein SET,SET,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,False,0,none,290.0
Q01130,Serine/arginine-rich splicing factor 2,SRSF2 SFRS2,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Nuclear speckle,False,0,none,221.0
Q01196,Runt-related transcription factor 1,RUNX1 AML1 CBFA2,Homo sapiens,PhasePDB,False,autonomous,False,False,client,Nucleolus,False,0,none,453.0
Q01543,Friend leukemia integration 1 transcription factor,FLI1,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,False,0,none,452.0
Q01844,RNA-binding protein EWS,EWSR1 EWS,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,DNA damage foci,False,0,none,656.0
Q01860,"POU domain, class 5, transcription factor 1",POU5F1 OCT3 OCT4 OTF3,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,driver,Mediator condensate; Transcriptional condensate,False,0,none,360.0
Q02224,Centromere-associated protein E,CENPE,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,2701.0
Q02880,DNA topoisomerase 2-beta,TOP2B,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,1626.0
Q03111,Protein ENL,MLLT1 ENL LTG19 YEATS1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Elongation complex; Transcriptional condensate,False,0,none,559.0
Q03164,Histone-lysine N-methyltransferase 2A,KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1,Homo sapiens,PhasePDB,False,autonomous,False,False,client,,False,0,none,3969.0
Q03468,DNA excision repair protein ERCC-6,ERCC6 CSB,Homo sapiens,PhasePDB,False,both,False,False,driver,Nucleolus,False,0,none,1493.0
Q04206,Transcription factor p65,RELA NFKB3,Homo sapiens,PhasePDB,False,both,False,False,driver,Inclusion body,False,0,none,551.0
Q04637,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1 EIF4F EIF4G EIF4GI,Homo sapiens,PhasePDB,False,both,False,False,both,Inclusion body,False,0,none,1599.0
Q05086,Ubiquitin-protein ligase E3A,UBE3A E6AP EPVE6AP HPVE6A,Homo sapiens,PhasePDB,False,both,True,False,both,Proteasome containing foci,False,0,none,875.0
Q05D60,Deuterosome assembly protein 1,DEUP1 CCDC67,Homo sapiens,PhasePDB,False,autonomous,True,True,unclear,,False,0,none,604.0
Q06124,Tyrosine-protein phosphatase non-receptor type 11,PTPN11 PTP2C SHPTP2,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,593.0
Q06787,Fragile X messenger ribonucleoprotein 1,FMR1,Homo sapiens,LLPSDB+PhasePDB,False,both,True,True,unclear,P-body; Stress granule,False,0,none,632.0
Q07157,Tight junction protein 1,TJP1 ZO1,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,1748.0
Q07352,mRNA decay activator protein ZFP36L1,ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B,Homo sapiens,PhasePDB,False,unclear,False,False,driver,TIS granule,False,0,none,338.0
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1 SAM68,Homo sapiens,PhasePDB,False,both,True,True,both,,False,0,none,443.0
Q07889,Son of sevenless homolog 1,SOS1,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,Receptor cluster,False,0,none,1333.0
Q07955,Serine/arginine-rich splicing factor 1,SRSF1 ASF SF2 SF2P33 SFRS1,Homo sapiens,PhasePDB,False,both,False,False,driver,Centrosome; Nuclear speckle,False,0,none,248.0
Q08050,Forkhead box protein M1,FOXM1 FKHL16 HFH11 MPP2 WIN,Homo sapiens,PhasePDB,False,both,False,False,driver,Transcriptional condensate,False,0,none,763.0
Q08378,Golgin subfamily A member 3,GOLGA3,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Golgin condensate,False,0,none,1498.0
Q08379,Golgin subfamily A member 2,GOLGA2,Homo sapiens,PhasePDB,False,unclear,True,True,unclear,Golgin condensate,False,0,none,1002.0
Q09472,Histone acetyltransferase p300,EP300 P300,Homo sapiens,PhasePDB,False,both,False,False,driver,enhancer condensate; Nuclear body; Transcriptional condensate,False,0,none,2414.0
Q0JRZ9,F-BAR domain only protein 2,FCHO2,Homo sapiens,PhasePDB,False,both,True,False,driver,,False,0,none,810.0
Q12756,Kinesin-like protein KIF1A,KIF1A ATSV C2orf20,Homo sapiens,PhasePDB,False,partner_dependent,False,False,driver,,False,0,none,1690.0
Q12824,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,SMARCB1 BAF47 INI1 SNF5L1,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,Transcriptional condensate,False,0,none,385.0
Q12830,Nucleosome-remodeling factor subunit BPTF,BPTF FAC1 FALZ,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,3046.0
Q12888,TP53-binding protein 1,TP53BP1,Homo sapiens,PhasePDB,False,both,False,False,driver,DNA damage foci; Heterochromatin; Nucleolus,False,0,none,1972.0
Q12906,Interleukin enhancer-binding factor 3,ILF3 DRBF MPHOSPH4 NF90,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,894.0
Q12933,TNF receptor-associated factor 2,TRAF2 TRAP3,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,501.0
Q12959,Disks large homolog 1,DLG1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,904.0
Q12988,Heat shock protein beta-3,HSPB3 HSP27 HSPL27,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,150.0
Q13049,E3 ubiquitin-protein ligase TRIM32,TRIM32 HT2A,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,653.0
Q13094,Lymphocyte cytosolic protein 2;SH2 domain-containing leukocyte protein of 76 kDa;SLP-76 tyrosine phosphoprotein,LCP2,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Cytoplasm.,False,0,none,533.0
Q13111,Chromatin assembly factor 1 subunit A,CHAF1A CAF CAF1P150,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear body,False,0,none,956.0
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1 AMPK1,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,559.0
Q13137,Calcium-binding and coiled-coil domain-containing protein 2,CALCOCO2 NDP52,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,446.0
